trial,truth,z_A,dec_A,z_B,dec_B,team_UW,team_WCS,team_DSS,team_CF,team_BF
3617,0,0.1779331641104418,1,-1.3652899528193467,0,0,0,0,1,1
3618,0,-0.8647304188936049,0,-0.2520806600908526,0,0,0,0,0,0
3619,1,-0.0116880361817151,0,1.8689938162322837,1,1,1,1,0,0
3620,1,0.5573666043435666,1,2.357697342347237,1,1,1,1,1,1
3621,0,-0.4699492478063605,0,0.37041035074921835,1,0,0,0,0,0
3622,0,-1.0190697071457577,0,-0.5748405039583434,0,0,0,0,0,0
3623,1,1.1300591957711292,1,1.1381042438762554,1,1,1,1,1,1
3624,1,-0.353447490060409,0,1.7518099836779615,1,1,1,1,1,0
3625,1,-0.35838767498426816,0,-1.607228137790559,0,0,0,0,0,0
3626,1,0.9701954570502046,1,1.8820690377964162,1,1,1,1,1,1
3627,1,-0.5686417535643978,0,-0.1445868205930625,0,0,0,0,0,0
3628,1,1.3290172528625397,1,-0.13496295493749022,0,1,1,1,0,1
3629,0,-0.6142806123969334,0,-0.7549279725859179,0,0,0,0,0,0
3630,0,-2.4279092187172133,0,-0.07991586122424477,0,0,0,0,0,0
3631,1,0.7094991255609467,1,-0.7112542536987664,0,0,0,0,0,1
3632,1,-1.0851466245889947,0,0.11518596530904851,1,0,0,0,1,0
3633,0,0.09336200965566133,1,0.12527720649789065,1,1,1,1,1,1
3634,1,0.35128567074940387,1,0.6185712492739928,1,1,1,1,1,1
3635,0,1.2510842165068197,1,-0.019185485638530786,0,1,1,1,0,1
3636,1,1.6713128443726069,1,0.07603128761877065,1,1,1,1,1,1
3637,0,-1.6606925062318245,0,0.29370995246265785,1,0,0,0,0,0
3638,1,-1.4207398638414173,0,1.4564161220028558,1,1,1,1,0,0
3639,1,-0.15510125679137388,0,1.3964393121627112,1,1,1,1,1,0
3640,0,-1.8212586028303712,0,0.02761023284313574,1,0,0,0,0,0
3641,0,1.2257380868770942,1,0.538892608723679,1,1,1,1,1,1
3642,1,0.5896853407198486,1,1.2710605841147307,1,1,1,1,1,1
3643,0,0.3334188041831667,1,2.2765079066841465,1,1,1,1,1,1
3644,0,-0.8850309125505859,0,0.8180670700487084,1,0,0,0,1,0
3645,1,0.4203325117193544,1,0.31125586336471855,1,1,1,1,1,1
3646,0,-0.6326270225089082,0,-1.3116792873468697,0,0,0,0,0,0
3647,0,0.5065393185924464,1,-0.6611402547591108,0,0,0,0,0,1
3648,0,-0.28837524432540135,0,-0.7317848555999795,0,0,0,0,0,0
3649,1,-0.45733384347666506,0,0.9114225677258678,1,1,1,1,1,0
3650,0,1.0225141380864171,1,-1.1002562451892994,0,0,0,0,1,1
3651,0,-0.8928154989863131,0,0.7921771715204037,1,0,0,0,0,0
